time_stamp,lat,lon,alt
2026-01-13T07:30:26.920000,24.9420671,121.3681717,40.29
2026-01-13T07:30:27.421000,24.9420631,121.3681840,40.32
2026-01-13T07:30:27.922000,24.9420631,121.3681840,40.32
2026-01-13T07:30:28.423000,24.9420548,121.3681930,40.31
2026-01-13T07:30:28.924000,24.9420548,121.3681930,40.31
2026-01-13T07:30:29.425000,24.9420443,121.3682008,40.25
2026-01-13T07:30:29.926000,24.9420443,121.3682008,40.25
2026-01-13T07:30:30.427000,24.9420318,121.3682066,40.19
2026-01-13T07:30:30.928000,24.9420318,121.3682066,40.19
2026-01-13T07:30:31.429000,24.9420174,121.3682116,40.24
2026-01-13T07:30:31.930000,24.9420174,121.3682116,40.24
2026-01-13T07:30:32.431000,24.9420053,121.3682185,40.17
2026-01-13T07:30:32.932000,24.9420053,121.3682185,40.17
2026-01-13T07:30:33.433000,24.9419964,121.3682289,40.19
2026-01-13T07:30:33.933000,24.9419964,121.3682289,40.19
2026-01-13T07:30:34.434000,24.9419886,121.3682394,40.29
2026-01-13T07:30:34.935000,24.9419886,121.3682394,40.29
2026-01-13T07:30:35.435000,24.9419880,121.3682591,40.55
2026-01-13T07:30:35.936000,24.9419880,121.3682591,40.55
2026-01-13T07:30:36.436000,24.9419900,121.3682842,40.60
2026-01-13T07:30:36.937000,24.9419900,121.3682842,40.60
2026-01-13T07:30:37.438000,24.9419957,121.3683068,40.61
2026-01-13T07:30:37.938000,24.9419957,121.3683068,40.61
2026-01-13T07:30:38.439000,24.9420017,121.3683269,40.62
2026-01-13T07:30:38.939000,24.9420017,121.3683269,40.62
2026-01-13T07:30:39.440000,24.9420090,121.3683481,40.55
2026-01-13T07:30:39.941000,24.9420090,121.3683481,40.55
2026-01-13T07:30:40.443000,24.9420121,121.3683637,40.34
2026-01-13T07:30:40.944000,24.9420121,121.3683637,40.34
2026-01-13T07:30:41.445000,24.9420144,121.3683750,40.28
2026-01-13T07:30:41.946000,24.9420144,121.3683750,40.28
2026-01-13T07:30:42.447000,24.9420141,121.3683904,40.35
2026-01-13T07:30:42.948000,24.9420141,121.3683904,40.35
2026-01-13T07:30:43.449000,24.9420136,121.3684060,40.33
2026-01-13T07:30:43.949000,24.9420136,121.3684060,40.33
2026-01-13T07:30:44.451000,24.9420142,121.3684214,40.31
2026-01-13T07:30:44.952000,24.9420142,121.3684214,40.31
2026-01-13T07:30:45.453000,24.9420161,121.3684348,40.33
2026-01-13T07:30:45.953000,24.9420161,121.3684348,40.33
2026-01-13T07:30:46.453000,24.9420186,121.3684482,40.36
2026-01-13T07:30:46.954000,24.9420186,121.3684482,40.36
2026-01-13T07:30:47.454000,24.9420214,121.3684616,40.40
2026-01-13T07:30:47.955000,24.9420214,121.3684616,40.40
2026-01-13T07:30:48.455000,24.9420225,121.3684755,40.45
2026-01-13T07:30:48.955000,24.9420225,121.3684755,40.45
2026-01-13T07:30:49.456000,24.9420224,121.3684892,40.48
2026-01-13T07:30:49.956000,24.9420224,121.3684892,40.48
2026-01-13T07:30:50.457000,24.9420207,121.3685034,40.50
2026-01-13T07:30:50.957000,24.9420207,121.3685034,40.50
2026-01-13T07:30:51.457000,24.9420175,121.3685176,40.59
2026-01-13T07:30:51.958000,24.9420175,121.3685176,40.59
2026-01-13T07:30:52.458000,24.9420129,121.3685310,40.60
2026-01-13T07:30:52.958000,24.9420129,121.3685310,40.60
2026-01-13T07:30:53.459000,24.9420079,121.3685441,40.63
2026-01-13T07:30:53.959000,24.9420079,121.3685441,40.63
2026-01-13T07:30:54.460000,24.9420029,121.3685567,40.72
2026-01-13T07:30:54.960000,24.9420029,121.3685567,40.72
2026-01-13T07:30:55.460000,24.9419973,121.3685687,40.75
2026-01-13T07:30:55.961000,24.9419973,121.3685687,40.75
2026-01-13T07:30:56.461000,24.9419919,121.3685801,40.69
2026-01-13T07:30:56.962000,24.9419919,121.3685801,40.69
2026-01-13T07:30:57.462000,24.9419875,121.3685918,40.64
2026-01-13T07:30:57.962000,24.9419875,121.3685918,40.64
2026-01-13T07:30:58.463000,24.9419834,121.3686033,40.53
2026-01-13T07:30:58.963000,24.9419834,121.3686033,40.53
2026-01-13T07:30:59.464000,24.9419801,121.3686137,40.37
2026-01-13T07:30:59.964000,24.9419801,121.3686137,40.37
2026-01-13T07:31:00.464000,24.9419772,121.3686249,40.26
2026-01-13T07:31:00.965000,24.9419772,121.3686249,40.26
2026-01-13T07:31:01.465000,24.9419747,121.3686371,40.26
2026-01-13T07:31:01.966000,24.9419747,121.3686371,40.26
2026-01-13T07:31:02.467000,24.9419720,121.3686485,40.23
2026-01-13T07:31:02.968000,24.9419720,121.3686485,40.23
2026-01-13T07:31:03.468000,24.9419699,121.3686604,40.24
2026-01-13T07:31:03.969000,24.9419699,121.3686604,40.24
2026-01-13T07:31:04.469000,24.9419676,121.3686728,40.22
2026-01-13T07:31:04.969000,24.9419676,121.3686728,40.22
2026-01-13T07:31:05.470000,24.9419655,121.3686843,40.33
2026-01-13T07:31:05.971000,24.9419655,121.3686843,40.33
2026-01-13T07:31:06.471000,24.9419638,121.3686925,40.31
2026-01-13T07:31:06.972000,24.9419638,121.3686925,40.31
2026-01-13T07:31:07.474000,24.9419629,121.3687020,40.32
2026-01-13T07:31:07.975000,24.9419629,121.3687020,40.32
2026-01-13T07:31:08.476000,24.9419644,121.3687043,40.37
2026-01-13T07:31:08.977000,24.9419644,121.3687043,40.37
2026-01-13T07:31:09.477000,24.9419676,121.3687047,40.44
2026-01-13T07:31:09.978000,24.9419676,121.3687047,40.44
2026-01-13T07:31:10.478000,24.9419720,121.3687069,40.39
2026-01-13T07:31:10.980000,24.9419720,121.3687069,40.39
2026-01-13T07:31:11.481000,24.9419752,121.3687137,40.41
2026-01-13T07:31:11.982000,24.9419752,121.3687137,40.41
2026-01-13T07:31:12.483000,24.9419813,121.3687216,40.42
2026-01-13T07:31:12.984000,24.9419813,121.3687216,40.42
2026-01-13T07:31:13.484000,24.9419872,121.3687385,40.39
2026-01-13T07:31:13.985000,24.9419872,121.3687385,40.39
2026-01-13T07:31:14.486000,24.9419914,121.3687577,40.40
2026-01-13T07:31:14.987000,24.9419914,121.3687577,40.40
2026-01-13T07:31:15.488000,24.9419961,121.3687735,40.33
2026-01-13T07:31:15.989000,24.9419961,121.3687735,40.33
2026-01-13T07:31:16.490000,24.9420032,121.3687844,40.30
2026-01-13T07:31:16.991000,24.9420032,121.3687844,40.30
2026-01-13T07:31:17.491000,24.9420090,121.3687923,40.25
2026-01-13T07:31:17.992000,24.9420090,121.3687923,40.25
2026-01-13T07:31:18.493000,24.9420144,121.3687951,40.21
2026-01-13T07:31:18.994000,24.9420144,121.3687951,40.21
2026-01-13T07:31:19.495000,24.9420213,121.3687938,40.09
2026-01-13T07:31:19.996000,24.9420213,121.3687938,40.09
2026-01-13T07:31:20.496000,24.9420277,121.3687950,40.13
2026-01-13T07:31:20.997000,24.9420277,121.3687950,40.13
2026-01-13T07:31:21.498000,24.9420338,121.3687972,40.01
2026-01-13T07:31:21.998000,24.9420338,121.3687972,40.01
2026-01-13T07:31:22.499000,24.9420441,121.3688000,39.99
2026-01-13T07:31:23.001000,24.9420441,121.3688000,39.99
2026-01-13T07:31:23.501000,24.9420557,121.3688035,39.97
2026-01-13T07:31:24.003000,24.9420557,121.3688035,39.97
2026-01-13T07:31:24.504000,24.9420675,121.3688087,39.96
2026-01-13T07:31:25.004000,24.9420675,121.3688087,39.96
2026-01-13T07:31:25.505000,24.9420807,121.3688118,39.91
2026-01-13T07:31:26.006000,24.9420807,121.3688118,39.91
2026-01-13T07:31:26.507000,24.9420943,121.3688102,39.92
2026-01-13T07:31:27.007000,24.9420943,121.3688102,39.92
2026-01-13T07:31:27.508000,24.9421040,121.3688033,39.84
2026-01-13T07:31:28.009000,24.9421040,121.3688033,39.84
2026-01-13T07:31:28.510000,24.9421131,121.3687965,39.76
2026-01-13T07:31:29.011000,24.9421131,121.3687965,39.76
2026-01-13T07:31:29.512000,24.9421223,121.3687923,39.61
2026-01-13T07:31:30.013000,24.9421223,121.3687923,39.61
2026-01-13T07:31:30.513000,24.9421315,121.3687894,39.42
2026-01-13T07:31:31.014000,24.9421315,121.3687894,39.42
2026-01-13T07:31:31.515000,24.9421411,121.3687944,39.34
2026-01-13T07:31:32.015000,24.9421411,121.3687944,39.34
2026-01-13T07:31:32.516000,24.9421510,121.3688085,39.31
2026-01-13T07:31:33.017000,24.9421510,121.3688085,39.31
2026-01-13T07:31:33.519000,24.9421604,121.3688180,39.24
2026-01-13T07:31:34.019000,24.9421604,121.3688180,39.24
2026-01-13T07:31:34.520000,24.9421694,121.3688241,39.31
2026-01-13T07:31:35.021000,24.9421694,121.3688241,39.31
2026-01-13T07:31:35.521000,24.9421784,121.3688295,39.27
2026-01-13T07:31:36.022000,24.9421784,121.3688295,39.27
2026-01-13T07:31:36.522000,24.9421870,121.3688333,39.29
2026-01-13T07:31:37.023000,24.9421870,121.3688333,39.29
2026-01-13T07:31:37.523000,24.9421950,121.3688347,39.14
2026-01-13T07:31:38.024000,24.9421950,121.3688347,39.14
2026-01-13T07:31:38.525000,24.9422034,121.3688435,39.04
2026-01-13T07:31:39.027000,24.9422034,121.3688435,39.04
2026-01-13T07:31:39.528000,24.9422119,121.3688460,38.91
2026-01-13T07:31:40.028000,24.9422119,121.3688460,38.91
2026-01-13T07:31:40.529000,24.9422208,121.3688614,38.90
2026-01-13T07:31:41.030000,24.9422208,121.3688614,38.90
2026-01-13T07:31:41.531000,24.9422305,121.3688825,38.73
2026-01-13T07:31:42.032000,24.9422305,121.3688825,38.73
2026-01-13T07:31:42.533000,24.9422409,121.3689038,38.75
2026-01-13T07:31:43.034000,24.9422409,121.3689038,38.75
2026-01-13T07:31:43.535000,24.9422517,121.3689235,38.70
2026-01-13T07:31:44.036000,24.9422517,121.3689235,38.70
2026-01-13T07:31:44.537000,24.9422628,121.3689507,38.70
2026-01-13T07:31:45.038000,24.9422628,121.3689507,38.70
2026-01-13T07:31:45.539000,24.9422734,121.3689657,38.74
2026-01-13T07:31:46.039000,24.9422734,121.3689657,38.74
2026-01-13T07:31:46.540000,24.9422836,121.3689744,38.82
2026-01-13T07:31:47.042000,24.9422836,121.3689744,38.82
2026-01-13T07:31:47.542000,24.9422927,121.3689843,38.92
2026-01-13T07:31:48.043000,24.9422927,121.3689843,38.92
2026-01-13T07:31:48.544000,24.9423008,121.3689972,38.98
2026-01-13T07:31:49.045000,24.9423008,121.3689972,38.98
2026-01-13T07:31:49.546000,24.9423078,121.3690147,38.98
2026-01-13T07:31:50.047000,24.9423078,121.3690147,38.98
2026-01-13T07:31:50.548000,24.9423142,121.3690341,38.98
2026-01-13T07:31:51.049000,24.9423142,121.3690341,38.98
2026-01-13T07:31:51.550000,24.9423198,121.3690550,39.00
2026-01-13T07:31:52.051000,24.9423198,121.3690550,39.00
2026-01-13T07:31:52.552000,24.9423248,121.3690776,38.96
2026-01-13T07:31:53.053000,24.9423248,121.3690776,38.96
2026-01-13T07:31:53.554000,24.9423301,121.3690973,39.09
2026-01-13T07:31:54.055000,24.9423301,121.3690973,39.09
2026-01-13T07:31:54.556000,24.9423359,121.3691083,39.15
2026-01-13T07:31:55.057000,24.9423359,121.3691083,39.15
